epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,130.517,1.17332,2.42797,1.47952,0.40943,0.4087,0.37771,0.19989,1.5178,2.36334,2.03227,0.00047513,0.00047513,0.00047513
2,314.737,1.28998,1.7925,1.55237,0.40466,0.47586,0.39412,0.22594,1.3676,1.96806,1.75434,0.000951231,0.000951231,0.000951231
3,486.882,1.30998,1.64729,1.56362,0.62804,0.43225,0.48466,0.28252,1.45898,1.92453,1.85958,0.0014264,0.0014264,0.0014264
4,656.106,1.28211,1.55044,1.54447,0.56279,0.57703,0.55955,0.3275,1.36671,1.65987,1.75194,0.00142586,0.00142586,0.00142586
5,827.614,1.23504,1.44934,1.50322,0.65457,0.59813,0.65515,0.4092,1.21356,1.22639,1.60328,0.00142342,0.00142342,0.00142342
6,998.29,1.18223,1.38164,1.46431,0.62829,0.58867,0.63558,0.37769,1.34933,1.4036,1.7211,0.00142029,0.00142029,0.00142029
7,1173.84,1.14309,1.29489,1.43301,0.66952,0.66682,0.71444,0.47331,1.13141,1.11616,1.52274,0.00141647,0.00141647,0.00141647
8,1343.64,1.12021,1.2491,1.41956,0.68849,0.67424,0.72469,0.49004,1.08512,1.0827,1.48235,0.00141196,0.00141196,0.00141196
9,1509.99,1.09974,1.22248,1.39997,0.70459,0.67475,0.7484,0.50562,1.06602,1.06871,1.47394,0.00140678,0.00140678,0.00140678
10,1693.49,1.08529,1.19433,1.39213,0.73631,0.73978,0.77944,0.53588,1.01695,0.94116,1.42502,0.00140091,0.00140091,0.00140091
11,1868.59,1.06107,1.14665,1.37393,0.72888,0.74701,0.81128,0.55842,0.99709,0.92391,1.42066,0.00139438,0.00139438,0.00139438
12,2047.14,1.04658,1.10507,1.35849,0.80421,0.69925,0.80492,0.56413,0.99184,0.921,1.39079,0.00138718,0.00138718,0.00138718
13,2228.96,1.03088,1.0872,1.34612,0.80792,0.74285,0.83943,0.59381,0.96801,0.8279,1.36405,0.00137933,0.00137933,0.00137933
14,2400.67,1.03155,1.07044,1.34242,0.7603,0.73359,0.80051,0.55066,1.00151,0.8939,1.43202,0.00137082,0.00137082,0.00137082
15,2578.45,1.00381,1.02347,1.32306,0.74796,0.72276,0.80079,0.55844,0.99505,0.92573,1.38397,0.00136168,0.00136168,0.00136168
